link_url,name_link,adress,link,validated,status,document_type,document_link
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/B108359013AD0D0A45CC4E1F54505160/pdf/23_00927_FULSTL-DEFICIENCY_LETTER-5768202.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/A35EA869F3F013AE5B1E616216D60969/pdf/23_00927_FULSTL-_02__AS_EXISTING-5765192.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/5F16F6A3B6291121388D085E63AB31F2/pdf/23_00927_FULSTL-_03__AS_PROPOSED-5765193.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/8BDE8BA004DAA62C9F425266952DFC33/pdf/23_00927_FULSTL-_01__LOCATION_PLAN-5765195.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/0B0A2F52B4FF428297CE77FB03BF5DF2/pdf/23_00927_FULSTL-APPLICATION_FORM-5765385.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,BackGround Papers,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/2B360D624A867C080FD1E4D21C4F1EF1/pdf/23_00927_FULSTL-PLANNING_STATEMENT-5765197.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/FB65F7F5102AEC51C83ED55E228CC06F/pdf/23_00880_FULSTL--5777880.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/C44F1D5A555ADC5927133B7B2F6686F4/pdf/23_00880_FULSTL-_01__LOCATION_PLAN_AND_FLOOR_PLAN-5762781.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/5068779BC16057F1A7CEA541879F93F2/pdf/23_00880_FULSTL-APPLICATION_FORM-5762946.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,BackGround Papers,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/59B8262C46DA4B7D43BD64FCC40AE064/pdf/23_00880_FULSTL-SUPPORTING_PLANNING_STATEMENT-5762783.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQQMSVEWMI300&activeTab=summary,Change of use from twin shop unit to two short term let properties.,34 St Stephen Street Edinburgh EH3 5AL,23/00823/FULSTL,Mon 27 Feb 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/ADAA8E63BEDD3A7A2F5A44C6FC8AD2F7/pdf/23_00823_FULSTL--5777892.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQQMSVEWMI300&activeTab=summary,Change of use from twin shop unit to two short term let properties.,34 St Stephen Street Edinburgh EH3 5AL,23/00823/FULSTL,Mon 27 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/24DAC345AE83DCE9D298DDDB9379AFE5/pdf/23_00823_FULSTL-_04__EXISTING_AND_PROPOSED_ELEVATIONS-5759101.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQQMSVEWMI300&activeTab=summary,Change of use from twin shop unit to two short term let properties.,34 St Stephen Street Edinburgh EH3 5AL,23/00823/FULSTL,Mon 27 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/597CEEE35A015DBECFA400D46B072883/pdf/23_00823_FULSTL-_02__EXISTING_PLANS-5759102.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQQMSVEWMI300&activeTab=summary,Change of use from twin shop unit to two short term let properties.,34 St Stephen Street Edinburgh EH3 5AL,23/00823/FULSTL,Mon 27 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/75C2157DF6CDEC95674767F2A8890ED1/pdf/23_00823_FULSTL-_01__LOCATION_PLAN-5759104.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQQMSVEWMI300&activeTab=summary,Change of use from twin shop unit to two short term let properties.,34 St Stephen Street Edinburgh EH3 5AL,23/00823/FULSTL,Mon 27 Feb 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/CFF866CECF2B1256A791303CB7EA3218/pdf/23_00823_FULSTL-APPLICATION_FORM-5759179.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQQMSVEWMI300&activeTab=summary,Change of use from twin shop unit to two short term let properties.,34 St Stephen Street Edinburgh EH3 5AL,23/00823/FULSTL,Mon 27 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/B10FBDB5044D40F35070B56E9993028F/pdf/23_00823_FULSTL-_03__PROPOSED_PLANS-5759106.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQQMSVEWMI300&activeTab=summary,Change of use from twin shop unit to two short term let properties.,34 St Stephen Street Edinburgh EH3 5AL,23/00823/FULSTL,Mon 27 Feb 2023,Awaiting Assessment,BackGround Papers,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/F4C289F4519E0BA609A5E79781D8C616/pdf/23_00823_FULSTL-DESIGN_PROCESS-5759107.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQIYBHEWM1600&activeTab=summary,Change of use (retrospective) from residential to short-term let apartment (Sui Generis).,4A Clarence Street Edinburgh EH3 5AF,23/00762/FULSTL,Thu 02 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/D6A9FADEB9369AAEBDEF934E670D9377/pdf/23_00762_FULSTL--5766993.pdf
